title,link,summary,pub_date
아시아나 마일리지 어쩌나…항공사 합병 남은 과제는,http://www.yonhapnewstv.co.kr/MYH20241130009900641/?input=1825m," 대한항공이 아시아나항공 인수를 위한 마지막 관문을 넘으면서 양사 통합도 속도를 내고 있습니다. 하지만 마일리지 통합과 인력 재배치 등 완전한 통합까지 남은 숙제들이 많은데요. 박효정 기자가 짚어봤습니다. [기자] 올해 3분기까지 대한항공 고객들이 쌓은 마일리지는 2조 5,532억원, 아시아나항공... ",3주 전
"""EU, 대한항공-아시아나 합병 승인""…주가 향방은?(종합)",https://www.newsis.com/view/NISX20241129_0002978232, 대한항공과 아시아나항공 합병이 4년만에 사실상 마무리되며 29일 대한항공 주가가 강세를 보였다. 두 회사의 합병으로 4년간 미뤄진 항공시장 재편이... 반면 아시아나항공(-2.27%)과 아시아나의 LCC인 에어부산(-1.21%)은 하락 마감했다. 아시아나항공의 현 최대주주인 금호건설(0.17%)도 약보합으로 장을... ,3주 전
대한항공+아시아나 합병…LCC도 새판 짠다,http://www.edaily.co.kr/news/newspath.asp?newsid=02105766639090640," 대한항공(003490)이 4년여에 걸친 아시아나항공(020560) 인수 작업을 매듭지으면서 저비용항공사(LCC) 업계에도 전운이 감돌고 있다. 대한항공과 아시아나항공 계열 LCC 3사가 업계 1위로 올라서면서 LCC 업계의 지각변동이 불가피할 것으로 보인다. 진에어(오른쪽), 에어부산 EU 집행위원회(EC)는 28일(현지시간)... ",3주 전
"아시아나 마일리지 1조…대한항공 전환, 언제?",https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000447786," 대한항공과 아시아나 항공 합병, 4년 만에 마무리 됐습니다. 이제 최대 관심사는 1조 원에 달하는 아시아나 항공 마일리지를 어떻게 할 거냐죠. 권갑구 기자입니다. [기자] 이렇게 아시아나항공 마일리지를 갖고 계신 분들 많으실 텐데요. 주요 사용처인 이곳 마일리지샵에는 대부분의 제품이 매진으로 뜹니다.... ",3주 전
"EC, 대한항공·아시아나 합병 최종 승인...연내 가시화",https://www.ytn.co.kr/_ln/0102_202411290027062486," 대한항공·아시아나항공 합병이 최종 관문을 넘어섰습니다. 유럽연합 집행위원회의 최종 승인이 이뤄진 건데 사실상 합병 절차가 마무리되면서 두 항공사 합병으로 인한 기대와 우려가 공존하고 있습니다. 최두희 기자입니다. [기자] 유럽연합 집행위원회, EC가 대한항공과 아시아나항공 합병을 최종... ",3주 전
"유럽, 대한항공·아시아나 합병 승인",https://www.hankyung.com/article/2024112820941," 대한항공이 아시아나항공 인수를 위한 마지막 관문을 넘었다. 통합이 완료되면 대한항공은 국제선 여객 운송 거리(2019년 기준 1247억㎞) 기준으로 세계... EC는 지난 2월 대한항공에 합병 승인 조건으로 유럽 4개 중복 노선에 신규 항공사 배정, 아시아나항공 화물사업 부문 매각 등을 내걸었다. 대한항공은... ",A1면 1단
"대한항공-아시아나 합병, EU 경쟁당국 최종 승인…美 승인만 남아",https://www.chosun.com/economy/industry-company/2024/11/28/ONDLPKGSIBEBRDDNEKQSDIVD2U/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news, 대한항공이 아시아나항공과 인수·합병 절차인 기업결합에서 최대 분수령으로 꼽혔던 유럽연합(EU) 경쟁당국이 제시한 조건부 승인의 선행 조건을 모두 달성했다. 대한항공은 28일 “EU 경쟁당국(European Commission·EC)이 대한항공과 아시아나항공의 결합을 위한 선결 요건이 모두 충족돼 심사를 종결한다고... ,4주 전
"“사명부터 바꾼다” 소시어스PE, 아시아나 화물 통합 작업 시작",https://biz.chosun.com/stock/market_trend/2024/11/29/QC7G4I4PRJGMRIKI6BZR2OE53A/?utm_source=naver&utm_medium=original&utm_campaign=biz," 에어인천 앞세워 아시아나 화물 인수 추진 EU 경쟁당국, 에어인천 적격 인수자 승인 소시어스PE, 내년 7월 통합항공사 출범 목표 인수 대금 포함 6000억 자금 모집도 순항 이 기사는 2024년 11월 29일 08시 34분 조선비즈 머니무브(MM) 사이트에 표출됐습니다. 에어인천을 앞세워 아시아나항공 화물사업부 인수를... ",3주 전
"'공룡 항공사' 이륙 시동...대한항공·아시아나, 막판 변수는",https://news.tf.co.kr/read/economy/2156130.htm," 12월 20일 이전까지 아시아나항공에 대한 신주 인수…자회사 편입 마일리지 통합·LCC 합병이 과제…""구조조정 없을 것"" 유럽연합 집행위원회(EC)가 대한항공과 아시아나항공의 기업결합과 관련한 심사를 최종 승인하면서 4년간 끌어온 두 회사의 합병이 마무리 수순에 들어가게 됐다. 앞으로 대한항공은 미국... ",3주 전
대한항공-아시아나 합병 코앞…다음달 마무리,https://biz.sbs.co.kr/article_hub/20000204193?division=NAVER," 유럽연합 집행위원회가 대한항공과 아시아나항공 간 기업결합을 최종 승인했습니다. 사실상 마지막 관문까지 넘으면서, 4년에 걸친 양사 합병은 다음 달... 대한항공이 신규 진입하는 항공사가 유럽 노선을 안정적으로 운항할 수 있도록 돕고, 아시아나항공 화물 부문 매수자를 선정하는 것이었습니다. 이를... ",3주 전
"“대한항공, 아시아나 기업결합 승인…주가에 미칠 영향은?”",https://www.mk.co.kr/article/11181147, 하나증권은 29일 대한항공에 대해 아시아나 항공과 합병 후 구조적 성장이 기대된다며 목표주가를 기존 2만7000원에서 3만3000원으로 상향 조정했다. 28일(현지시간) 유럽연합(EU) 집행위원회는 대한항공과 아시아나항공의 기업결합을 승인했다. 이로써 주요국의 기업결합승인 절차가 모두 마무리돼... ,3주 전
"[속보] EC, 대한항공·아시아나 합병 최종 승인",https://www.ytn.co.kr/_ln/0102_202411281814278586," 대한항공과 아시아나항공 합병의 최종 관문으로 꼽혔던 유럽연합집행위원회, EC가 두 항공사의 기업결합을 최종 승인하면서 4년간 이어온 합병이 사실상 완료 단계를 맞았습니다. EC는 오늘 대한항공과 아시아나항공의 결합을 위한 선결 요건이 모두 충족돼 심사를 끝낸다고 발표했습니다. 앞서 EC는 지난 2월... ",4주 전
"EU, 대한항공-아시아나 기업결합 최종승인…내달 합병 마무리(종합2보)",https://www.yna.co.kr/view/AKR20241128173353003?input=1195m," 대한항공, 여객·화물부문 선결조건 충족…美 포함 14개국 심사 완료된 듯 내달 아시아나항공 신주 인수 후 합병절차 매듭 김보경 기자 정빛나 특파원 = 대한항공과 아시아나항공 간 기업결합의 사실상 마지막 관문인 유럽연합(EU) 집행위원회의 최종 승인이 28일(현지시간) 완료됐다. 이로써 2020년 11월 시작된 두... ",3주 전
대한항공-아시아나 합병하면 내 주식은 어떻게 되나요?,https://www.ytn.co.kr/_ln/0102_202411290733539034," 대한항공 아시아나항공 합병 작업이 사실상 마무리 단계라고 봐야 되는데요. 이쪽 주가는 어떻게 반응하고 있습니까? ◇ 이선엽 : 전체적으로 주가 반응은... 그런데 궁금한 게요, 아시아나항공도 그렇고 대한항공도 그렇고 둘 다 상장사잖아요. 그렇게 이 두 회사가 합병을 하게 되면 주식은 어떻게 되는 겁니까?... ",3주 전
"[2보] EU집행위, 대한항공-아시아나항공 기업결합 최종승인",https://www.yna.co.kr/view/AKR20241128173351003?input=1195m, 유럽연합(EU) 집행위원회는 28일(현지시간) 대한항공과 아시아나항공의 결합을 최종 승인했다. EU 집행위는 두 항공사의 기업결합을 위한 선결 요건이 모두 총족돼 심사를 종결한다고 발표했다. ,4주 전
"유럽연합, 대한항공-아시아나 합병 최종 승인",https://news.sbs.co.kr/news/endPage.do?news_id=N1007891724&plink=ORI&cooper=NAVER, ▲ 28일 인천 영종도 인천국제공항 활주로와 주기장에 대한항공-아시아나항공 여객기가 보이고 있다. 유럽연합 집행위원회(EC)가 대한항공과 아시아나항공의 기업결합을 최종 승인했습니다. EC는 대한항공과 아시아나항공의 결합을 위한 선결요건이 모두 '충족'돼 심사를 종결하기로 했다고 대한항공이... ,4주 전
"[SNS세상] ""하늘은 못 날고 마일리지만 날린다""…소비자 아우성",https://www.yna.co.kr/view/AKR20241127052700505?input=1195m, 특히 아시아나 마일리지 샵에서 뭐라도 구매하려면 '피켓팅'(피가 튈 정도로 치열한 예매 경쟁)을 해야 한다는 지적이 나온다. 물품이 올라오는 족족... 지난 9월 아시아나항공은 기존 마일리지 제휴사인 이마트·CGV·소노호텔앤리조트·에버랜드·캐리비안베이·모두투어·위클리딜즈 등 7곳과의 계약을... ,4주 전
대한항공-아시아나 합병 초읽기…에어부산 운명 어디로?,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0200&key=20241129.99099009154, 대한항공과 아시아나항공의 기업결합 절차가 지난 28일 유럽연합 집행위원회의 최종 승인으로 사실상 마무리됨에 따라 산하에 있는 에어부산 운명에도 관심이 쏠린다. 대한항공 계열의 진에어가 아시아나 항공 계열 에어부산과 에어서울을 흡수해 메가 LCC로 몸집을 불리게 될 것으로 전망된다. 지역 상공계... ,3주 전
"유럽서 대한항공·아시아나 합병 승인한 날… 아시아나, 로마공항에 승...",https://www.seoul.co.kr/news/society/accident/2024/11/29/20241129500213?wlog_tag3=naver, 유럽에서 아시아나항공이 대한항공과의 합병 승인이 난 직후 로마 피우미치노 레오나르도 다 빈치 공항에서 승객들을 적절한 안내나 보상 없이 방치한 것으로 알려져 논란이 일고 있다. 28일(현지시간) 로마발 인천행 아시아나항공 편이 11시간 35분 지연되면서 수백 명의 승객들이 큰 불편을 겪었다. 인천발... ,3주 전
"'기업결합 최종승인' 대한항공·아시아나, 주가는 희비 갈려(종합)",https://www.yna.co.kr/view/AKR20241129043951008?input=1195m, 대한항공과 아시아나항공이 유럽연합(EU) 집행위원회의 최종 승인으로 기업결합의 마지막 관문을 넘었으나 29일 양사 주가는 엇갈린 흐름을 보였다.... 반면 아시아나항공은 2.27% 내린 1만740원으로 하락 마감했다. 아시아나항공은 개장과 함께 4.91%까지 상승 폭을 키우다 반락한 뒤 약세가 이어졌다. 전날 EU... ,3주 전
