title,link,summary,pub_date
"""화물도 대한항공""…아시아나 직원들, 에어인천 인수 왜 반대?",https://www.newsis.com/view/NISX20240627_0002789365, 에어인천이 아시아나항공 화물사업부 매각의 우선협상대상자가 되면서 때아닌 아시아나항공 직원들의 불만이 커지고 있다. 27일 업계에 따르면 아시아나항공 조종사 및 일반직 노동조합은 최근 공동 성명서를 내고 대한항공과 아시아나항공의 인수합병에 반대하는 성명서를 또 냈다. 이 성명서는 운수권 반납... ,2024.06.27.
"[fn마켓워치] 아시아나항공, 까다로워진 영구채 조건...'콜옵션 1년 주기...",http://www.fnnews.com/news/202406271433058267, 아시아나항공이 영구채 콜옵션에 대응하기 위해 더 높은 금리로 영구채를 찍었다. 콜옵션 주기도 2년에서 1년으로 줄였다. 6월 30일 금융투자업계에 따르면 아시아나항공은 지난 6월 26일 신종자본증권 성격의 전환사채(CB) 1750억원어치를 발행했다. 만기는 2054년 6월 26일로 30년물이지만 신종자본증권은... ,2024.06.30.
아시아나 조종사·일반노조 “합병 결사반대”,https://www.busan.com/view/busan/view.php?code=2024062514571162636, 아시아나항공 화물사업 매각 절차가 본격화하면서 대한항공과 아시아나의 기업결합이 ‘9부 능선을 넘었다’는 평가가 나오는 가운데 아시아나항공 노조의 합병 반대 목소리도 커지는 분위기다. 아시아나항공 조종사노조와 일반노조는 25일 공동 성명서를 내고 “대한항공의 아시아나항공 인수합병은 국가적... ,2024.06.25.
"'세계 100대 항공사' 대한항공 11위, 아시아나 37위…1위는 카타르항공",https://biz.sbs.co.kr/article_hub/20000178239?division=NAVER," 11위, 아시아나항공은 37위에 각각 올랐습니다. 세계 최고 항공사 1위는 카타르항공이 차지했습니다. 스카이트랙스는 지난해 9월부터 지난달까지... 아시아나항공은 2021년 25위, 2022년 33위, 지난해 28위였습니다. 아울러 올해 스카이트랙스의 '세계에서 가장 깨끗한 항공사' 순위에서 아시아나항공이... ",2024.06.26.
"‘대한항공 잇단 자금 지원에도’ 아시아나항공, 7조 차입금 도돌이표",https://view.asiae.co.kr/article/2024062807073723012," 4년째 대한항공과의 합병이 지연되고 있는 아시아나항공이 대한항공의 자금 지원으로 재무적 부담을 덜고 있다. 하지만 여전히 1조원 이상의 고금리... 아시아나항공, 4750억 영구CB 대한항공이 인수‥재무부담↓ 28일 투자은행(IB) 업계에 따르면 아시아나항공은 최근 영구CB 1750억원어치를 발행하는 데... ",5면 1단
"[더차트] 대한항공, 세계 100대 항공사 11위…아시아나는?",http://news.mt.co.kr/mtview.php?no=2024062718024589208," 아시아나항공은 37위를 기록해 지난해(28위) 대비 9계단 하락했다. 국내 저비용항공사(LCC)들은 순위권에 포함되지 못했다. 1위는 카타르항공이었다. 카타르항공은 아랍에미리트(UAE)의 에미레이트 항공, 에티하드 항공과 함께 고급 서비스와 허브 중심화 전략을 선보이는 곳이다. 이어 △2위 싱가포르... ",2024.06.29.
"아시아나, 아이패드 등 경품 쏜다",https://news.koreadaily.com/2024/06/26/economy/economygeneral/20240626112940159.html," 아시아나항공 미주지역본부가 기업 우대 회원을 위한 '플라이, 숍. 윈(Fly, Shop, Win·사진)' 이벤트를 개최했다. 이 이벤트는 7월 16일까지 진행되며, 미주 아시아나 기업우대 프로그램(Asiana Corporate Plus) 회원들을 대상으로 한다. 이벤트 기간 추첨을 통해 선정된 회원들에게 아이패드, 샘소나이트... ",2024.06.27.
"[단독]아시아나 노조, EU에 기업결합 반대 서한 보낸다",https://news.mtn.co.kr/news-detail/2024062710354146229, 대한항공과 아시아나항공 항공기/ 사진=머니투데이미디어 아시아나항공 노동조합이 유럽연합 집행위원회(EC)에 대한항공과의 기업결합을 반대한다는 내용의 서한을 보내기로 했다. EC가 2월 기업결합을 조건부 승인하면서 내걸었던 아시아나항공 화물사업부 매각이 마무리 수순을 밟고 있는 가운데 최종... ,2024.06.27.
[취재파일] 대한항공-아시아나 합병 '메가 캐리어' 탄생전야 불안한 풍...,https://news.sbs.co.kr/news/endPage.do?news_id=N1007701650&plink=ORI&cooper=NAVER," 대한항공은 4년 가까이 끌어온 아시아나항공 인수 작업이 '9부 능선'을 넘었다고 자평한다. 기업결합 승인이 필요한 세계 14국 가운데 가장 까다로워... 20년 11월 아시아나 인수 발표 당시 대한항공은 ""항공 소비자의 노선과 스케줄 선택 폭이 넓어지고 편익이 향상될 것""이라고 밝혔다. 양대 국적... ",2024.06.28.
"[게시판] 원티드랩, 아시아나항공과 이직 응원 이벤트",https://www.yna.co.kr/view/AKR20240625116100017?input=1195m," ▲ HR테크 기업 원티드랩은 이직 준비 직장인과 취업준비생을 응원하기 위해 아시아나항공과 '합격 여행을 원티드' 이벤트를 진행한다. 여름 동안 이직에 성공한 원티드 회원 중 100명을 추첨해 일본 나고야, 센다이, 홍콩, 베트남 호찌민 등의 왕복 항공권을 랜덤으로 제공한다. 원티드를 통해 채용 공고... ",2024.06.25.
